labels,环境,交通,价格,设施,风景,天气,服务态度,时间,体验,灯光,孩子
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
just so so,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty bad,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
pretty good,1,1,1,1,1,1,0,1,1,1,1
